,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000400.XSHE,430000400,许继电气股份有限公司,000400.XSHE,2011-12-31,年度分红,2012-03-23,10派1元(含税),37827.2,2012-05-24,10派1元(含税),37827.2,2012-06-09,10派1元(含税),37827.2,1.0,3782.72,2012-06-14,2012-06-15,2012-06-15,37827.2,313002,实施方案
000538.XSHE,430000538,云南白药集团股份有限公司,000538.XSHE,2011-12-31,年度分红,2012-03-17,10派1.6元(含税),69426.6479,2012-04-25,10派1.6元(含税),69426.6479,2012-06-11,10派1.6元(含税),69426.6479,1.6,11108.2637,2012-06-14,2012-06-15,2012-06-15,69426.6479,313002,实施方案
000983.XSHE,430000983,山西西山煤电股份有限公司,000983.XSHE,2011-12-31,年度分红,2012-03-17,10派2元(含税),315120.0,2012-04-18,10派2元(含税),315120.0,2012-06-11,10派2元(含税),315120.0,2.0,63024.0,2012-06-14,2012-06-15,2012-06-15,315120.0,313002,实施方案
002069.XSHE,300000781,獐子岛集团股份有限公司,002069.XSHE,2011-12-31,年度分红,2012-03-28,10派4元(含税),71111.2194,2012-04-18,10派4元(含税),71111.2194,2012-06-08,10派4元(含税),71111.2194,4.0,28444.4878,2012-06-14,2012-06-15,2012-06-15,71111.2194,313002,实施方案
002422.XSHE,300012788,四川科伦药业股份有限公司,002422.XSHE,2011-12-31,年度分红,2012-03-27,10派2.5元(含税),48000.0,2012-04-18,10派2.5元(含税),48000.0,2012-06-09,10派2.5元(含税),48000.0,2.5,12000.0,2012-06-14,2012-06-15,2012-06-15,48000.0,313002,实施方案
600019.XSHG,420600019,宝山钢铁股份有限公司,600019.XSHG,2011-12-31,年度分红,2012-03-31,10派2元(含税),1751204.8088,2012-04-28,10派2元(含税),1751204.8088,2012-06-05,10派2元(含税),1751204.8088,2.0,350240.9618,2012-06-08,2012-06-11,2012-06-15,1751204.8088,313002,实施方案
600026.XSHG,420600026,中远海运能源运输股份有限公司,600026.XSHG,2011-12-31,年度分红,2012-03-16,10派1元(含税),340455.2613,2012-05-18,10派1元(含税),340455.2613,2012-05-28,10派1元(含税),340455.2613,1.0,34045.5261,2012-05-31,2012-06-01,2012-06-15,340455.2613,313002,实施方案
600033.XSHG,420600033,福建发展高速公路股份有限公司,600033.XSHG,2011-12-31,年度分红,2012-04-21,10派1元(含税),274440.0,2012-05-23,10派1元(含税),274440.0,2012-06-05,10派1元(含税),274440.0,1.0,27444.0,2012-06-08,2012-06-11,2012-06-15,274440.0,313002,实施方案
600177.XSHG,420600177,雅戈尔集团股份有限公司,600177.XSHG,2011-12-31,年度分红,2012-03-27,10派4元(含税),222661.1695,2012-04-21,10派4元(含税),222661.1695,2012-06-05,10派4元(含税),222661.1695,4.0,89064.4678,2012-06-08,2012-06-11,2012-06-15,222661.1695,313002,实施方案
600196.XSHG,420600196,上海复星医药(集团)股份有限公司,600196.XSHG,2011-12-31,年度分红,2012-03-24,10派1元(含税),190439.2364,2012-04-18,10派1元(含税),190439.2364,2012-06-05,10派1元(含税),190439.2364,1.0,19043.9236,2012-06-08,2012-06-11,2012-06-15,190439.2364,313002,实施方案
600598.XSHG,420600598,黑龙江北大荒农业股份有限公司,600598.XSHG,2011-12-31,年度分红,2012-04-27,10派1.85元(含税),177767.9909,2012-05-18,10派1.85元(含税),177767.9909,2012-06-05,10派1.85元(含税),177767.9909,1.85,32887.0783,2012-06-08,2012-06-11,2012-06-15,177767.9909,313002,实施方案
600655.XSHG,420600655,上海豫园旅游商城股份有限公司,600655.XSHG,2011-12-31,年度分红,2012-03-28,10派0.7元(含税),143732.1976,2012-04-18,10派0.7元(含税),143732.1976,2012-06-05,10派0.7元(含税),143732.1976,0.7,10061.2538,2012-06-08,2012-06-11,2012-06-15,143732.1976,313002,实施方案
600690.XSHG,420600690,青岛海尔股份有限公司,600690.XSHG,2011-12-31,年度分红,2012-03-31,10派1.7元(含税),268512.75399999996,2012-05-19,10派1.7元(含税),268512.75399999996,2012-06-06,10派1.7元(含税),268512.75399999996,1.7,45647.1682,2012-06-11,2012-06-12,2012-06-15,268512.75399999996,313002,实施方案
600748.XSHG,420600748,上海实业发展股份有限公司,600748.XSHG,2011-12-31,年度分红,2012-03-27,10派0.38元(含税),108337.0873,2012-04-17,10派0.38元(含税),108337.0873,2012-06-05,10派0.38元(含税),108337.0873,0.38,4116.8093,2012-06-11,2012-06-12,2012-06-15,108337.0873,313002,实施方案
600809.XSHG,420600809,山西杏花村汾酒厂股份有限公司,600809.XSHG,2011-12-31,年度分红,2012-04-10,10送10股派5元(含税),43292.4133,2012-05-19,10送10股派5元(含税),43292.4133,2012-06-06,10送10股派5元(含税),43292.4133,5.0,21646.2067,2012-06-11,2012-06-12,2012-06-15,43292.4133,313002,实施方案
600970.XSHG,420600970,中国中材国际工程股份有限公司,600970.XSHG,2011-12-31,年度分红,2012-03-24,10送2股派5.07元(含税),91108.105,2012-04-19,10送2股派5.07元(含税),91108.105,2012-06-05,10送2股派5.07元(含税),91108.105,5.07,46191.8092,2012-06-08,2012-06-11,2012-06-15,91108.105,313002,实施方案
601088.XSHG,300003701,中国神华能源股份有限公司,601088.XSHG,2011-12-31,年度分红,2012-03-24,10派9元(含税),1988962.0455,2012-05-26,10派9元(含税),1988962.0455,2012-06-01,10派9元(含税),1988962.0455,9.0,1790065.841,2012-06-08,2012-06-11,2012-06-15,1988962.0455,313002,实施方案
