,name,long_rate,short_rate,trade_rate,settle_rate,close_rate
IF1306.CCFX,IF1306,0.12,0.12,2.5e-05,0.0001,1.0
IF1307.CCFX,IF1307,0.12,0.12,2.5e-05,0.0001,1.0
IF1309.CCFX,IF1309,0.12,0.12,2.5e-05,0.0001,1.0
IF1312.CCFX,IF1312,0.12,0.12,2.5e-05,0.0001,1.0
