,name,long_rate,short_rate,trade_rate,settle_rate,close_rate
IF1212.CCFX,IF1212,0.12,0.12,1e-06,0.0001,1.0
IF1301.CCFX,IF1301,0.12,0.12,1e-06,0.0001,1.0
IF1303.CCFX,IF1303,0.12,0.12,1e-06,0.0001,1.0
IF1306.CCFX,IF1306,0.12,0.12,1e-06,0.0001,1.0
