day,market_cap
2010-10-18,128.2517
2010-10-19,128.2517
2010-10-20,128.2517
2010-10-21,128.2517
2010-10-22,128.2517
2010-10-25,128.2517
2010-10-26,128.2517
2010-10-27,128.2517
2010-10-28,128.2517
2010-10-29,128.2517
2010-11-01,128.2517
2010-11-02,128.2517
2010-11-03,128.2517
2010-11-04,128.2517
2010-11-05,128.2517
2010-11-08,128.2517
2010-11-09,128.2517
2010-11-10,128.2517
2010-11-11,128.2517
2010-11-12,128.2517
2010-11-15,128.2517
2010-11-16,128.2517
2010-11-17,128.2517
2010-11-18,128.2517
2010-11-19,128.2517
2010-11-22,128.2517
2010-11-23,128.2517
2010-11-24,128.2517
2010-11-25,128.2517
2010-11-26,128.2517
2010-11-29,128.2517
2010-11-30,128.2517
2010-12-01,128.2517
2010-12-02,128.2517
2010-12-03,128.2517
2010-12-06,128.2517
2010-12-07,128.2517
2010-12-08,128.2517
2010-12-09,128.2517
2010-12-10,128.2517
2010-12-13,128.2517
2010-12-14,132.3084
2010-12-15,126.0674
2010-12-16,123.571
2010-12-17,123.571
2010-12-20,118.5782
2010-12-21,119.5144
2010-12-22,120.7626
2010-12-23,122.0108
2010-12-24,119.5144
2010-12-27,115.4578
2010-12-28,112.0252
2010-12-29,112.0252
2010-12-30,110.777
2010-12-31,110.777
2011-01-04,112.3373
2011-01-05,110.465
2011-01-06,110.1529
2011-01-07,111.0891
2011-01-10,110.465
2011-01-11,109.8409
2011-01-12,112.0252
2011-01-13,110.465
2011-01-14,108.2807
2011-01-17,105.4722
2011-01-18,104.22399999999999
2011-01-19,104.8481
2011-01-20,102.9758
2011-01-21,104.22399999999999
2011-01-24,102.9758
2011-01-25,104.8481
2011-01-26,105.4722
2011-01-27,105.7843
2011-01-28,106.0963
2011-01-31,106.7204
2011-02-01,106.0963
2011-02-09,104.8481
2011-02-10,106.0963
2011-02-11,107.0325
2011-02-14,109.2168
2011-02-15,109.2168
2011-02-16,110.777
2011-02-17,112.0252
2011-02-18,112.0252
2011-02-21,112.0252
2011-02-22,112.0252
2011-02-23,112.0252
2011-02-24,112.0252
2011-02-25,112.0252
2011-02-28,112.0252
2011-03-01,112.0252
2011-03-02,112.0252
2011-03-03,112.0252
2011-03-04,112.0252
2011-03-07,112.0252
2011-03-08,112.0252
2011-03-09,112.0252
2011-03-10,112.0252
2011-03-11,112.0252
2011-03-14,112.0252
2011-03-15,112.0252
2011-03-16,112.0252
2011-03-17,112.0252
2011-03-18,112.0252
2011-03-21,112.0252
2011-03-22,112.0252
2011-03-23,112.0252
2011-03-24,112.0252
2011-03-25,112.0252
2011-03-28,112.0252
2011-03-29,112.0252
2011-03-30,112.0252
2011-03-31,112.0252
2011-04-01,112.0252
2011-04-06,112.0252
2011-04-07,112.0252
2011-04-08,112.0252
2011-04-11,112.0252
2011-04-12,112.0252
2011-04-13,123.259
2011-04-14,135.7409
2011-04-15,149.471
2011-04-18,164.4493
2011-04-19,180.9878
2011-04-20,199.0866
2011-04-21,219.0577
2011-04-22,219.0577
2011-04-25,219.0577
2011-04-26,197.2143
2011-04-27,181.924
2011-04-28,163.8252
2011-04-29,164.7613
2011-05-03,168.5059
2011-05-04,167.2577
2011-05-05,184.1083
2011-05-06,181.6119
2011-05-09,183.1722
2011-05-10,185.6686
2011-05-11,176.3071
2011-05-12,163.8252
2011-05-13,165.3854
2011-05-16,158.8324
2011-05-17,158.5204
2011-05-18,158.5204
2011-05-19,161.6409
2011-05-20,155.0879
2011-05-23,144.4782
2011-05-24,146.9746
2011-05-25,147.2867
2011-05-26,143.5421
2011-05-27,142.6059
2011-05-30,141.0457
2011-05-31,146.6626
2011-06-01,145.4144
2011-06-02,148.2228
2011-06-03,146.0385
2011-06-07,149.783
2011-06-08,153.2156
2011-06-09,147.9108
2011-06-10,147.9108
2011-06-13,144.7903
2011-06-14,149.471
2011-06-15,161.0168
2011-06-16,155.3999
2011-06-17,144.4782
2011-06-20,138.8614
2011-06-21,141.0457
2011-06-22,139.4855
2011-06-23,144.4782
2011-06-24,146.9746
2011-06-27,150.4071
2011-06-28,149.783
2011-06-29,147.5987
2011-06-30,148.8469
2011-07-01,149.471
2011-07-04,153.2156
2011-07-05,154.4638
2011-07-06,151.6553
2011-07-07,150.7192
2011-07-08,151.3433
2011-07-11,151.3433
2011-07-12,146.9746
2011-07-13,148.5348
2011-07-14,148.8469
2011-07-15,149.1589
2011-07-18,146.3505
2011-07-19,143.5421
2011-07-20,144.4782
2011-07-21,140.1096
2011-07-22,139.7975
2011-07-25,131.9963
2011-07-26,132.9324
2011-07-27,133.8686
2011-07-28,134.1806
2011-07-29,130.124
2011-08-01,129.4999
2011-08-02,127.6276
2011-08-03,129.1879
2011-08-04,127.3156
2011-08-05,124.8192
2011-08-08,117.33
2011-08-09,116.3939
2011-08-10,121.0746
2011-08-11,121.0746
2011-08-12,121.3867
2011-08-15,123.8831
2011-08-16,122.6349
2011-08-17,120.7626
2011-08-18,117.33
2011-08-19,115.4578
2011-08-22,114.8337
2011-08-23,117.9541
2011-08-24,116.0819
2011-08-25,121.0746
2011-08-26,119.8264
2011-08-29,117.01799999999999
2011-08-30,116.3939
2011-08-31,116.0819
2011-09-01,115.7698
2011-09-02,114.5216
2011-09-05,113.2734
2011-09-06,112.9614
2011-09-07,115.1457
2011-09-08,113.2734
2011-09-09,113.5855
2011-09-13,112.9614
2011-09-14,114.5216
2011-09-15,114.5216
2011-09-16,113.5855
2011-09-19,111.4011
2011-09-20,112.9614
2011-09-21,116.706
2011-09-22,112.3373
2011-09-23,114.2096
2011-09-26,112.9614
2011-09-27,112.9614
2011-09-28,112.6493
2011-09-29,110.777
2011-09-30,111.4011
2011-10-10,110.465
2011-10-11,110.1529
2011-10-12,114.5216
2011-10-13,116.3939
2011-10-14,114.8337
2011-10-17,114.8337
2011-10-18,112.6493
2011-10-19,112.0252
2011-10-20,110.777
2011-10-21,110.1529
2011-10-24,112.0252
2011-10-25,114.2096
2011-10-26,113.5855
2011-10-27,115.4578
2011-10-28,117.9541
2011-10-31,117.33
2011-11-01,117.01799999999999
2011-11-02,117.6421
2011-11-03,117.9541
2011-11-04,117.9541
2011-11-07,117.9541
2011-11-08,117.9541
2011-11-09,117.9541
2011-11-10,129.812
2011-11-11,127.3156
2011-11-14,125.7553
2011-11-15,123.571
2011-11-16,119.2023
2011-11-17,117.6421
2011-11-18,114.5216
2011-11-21,114.2096
2011-11-22,112.6493
2011-11-23,112.0252
2011-11-24,113.2734
2011-11-25,111.7132
2011-11-28,110.465
2011-11-29,111.0891
2011-11-30,108.2807
2011-12-01,109.5288
2011-12-02,108.2807
2011-12-05,107.9686
2011-12-06,108.5927
2011-12-07,107.9686
2011-12-08,109.5288
2011-12-09,108.2807
2011-12-12,107.6566
2011-12-13,107.3445
2011-12-14,107.6566
2011-12-15,102.9758
2011-12-16,105.4722
2011-12-19,105.1602
2011-12-20,104.8481
2011-12-21,104.8481
2011-12-22,104.22399999999999
2011-12-23,105.1602
2011-12-26,106.7204
2011-12-27,104.8481
2011-12-28,106.4084
2011-12-29,105.7843
2011-12-30,107.6566
2012-01-04,106.4084
2012-01-05,107.3445
2012-01-06,107.3445
2012-01-09,109.2168
2012-01-10,111.7132
2012-01-11,112.0252
2012-01-12,109.2168
2012-01-13,107.6566
2012-01-16,105.7843
2012-01-17,110.465
2012-01-18,107.6566
2012-01-19,107.9686
2012-01-20,107.9686
2012-01-30,106.7204
2012-01-31,106.7204
2012-02-01,106.0963
2012-02-02,107.6566
2012-02-03,107.9686
2012-02-06,108.2807
2012-02-07,107.0325
2012-02-08,107.6566
2012-02-09,107.6566
2012-02-10,107.6566
2012-02-13,107.6566
2012-02-14,107.6566
2012-02-15,114.8337
2012-02-16,112.0252
2012-02-17,110.777
2012-02-20,110.1529
2012-02-21,110.777
2012-02-22,111.4011
2012-02-23,113.5855
2012-02-24,113.8975
2012-02-27,114.8337
2012-02-28,116.706
2012-02-29,113.2734
2012-03-01,112.9614
2012-03-02,114.2096
2012-03-05,112.3373
2012-03-06,109.8409
2012-03-07,110.1529
2012-03-08,184.33900000000003
2012-03-09,182.2017
2012-03-12,180.5987
2012-03-13,181.6674
2012-03-14,182.2017
2012-03-15,177.3929
2012-03-16,178.9958
2012-03-19,215.6159
2012-03-20,219.4777
2012-03-21,216.9032
2012-03-22,215.6159
2012-03-23,209.8232
2012-03-26,207.8924
2012-03-27,207.2487
2012-03-28,197.5943
2012-03-29,189.8707
2012-03-30,189.2271
2012-04-05,191.8016
2012-04-06,192.4452
2012-04-09,192.4452
2012-04-10,191.158
2012-04-11,189.8707
2012-04-12,193.7325
2012-04-13,195.0198
2012-04-16,196.9507
2012-04-17,193.7325
2012-04-18,195.6634
2012-04-19,195.6634
2012-04-20,196.30700000000002
2012-04-23,192.4452
2012-04-24,188.5835
2012-04-25,190.5144
2012-04-26,188.5835
2012-04-27,189.2271
2012-05-02,189.8707
2012-05-03,189.8707
2012-05-04,190.5144
2012-05-07,189.2271
2012-05-08,189.2271
2012-05-09,184.0781
2012-05-10,184.7217
2012-05-11,182.7908
2012-05-14,180.8599
2012-05-15,176.9981
2012-05-16,174.4236
2012-05-17,176.3545
2012-05-18,178.929
2012-05-21,176.3545
2012-05-22,176.3545
2012-05-23,175.0672
2012-05-24,171.8491
2012-05-25,176.9981
2012-05-28,179.5727
2012-05-29,179.5727
2012-05-30,178.929
2012-05-31,176.9981
2012-06-01,175.7109
2012-06-04,170.5618
2012-06-05,171.2055
2012-06-06,169.9182
2012-06-07,168.6309
2012-06-08,167.9873
2012-06-11,169.9182
2012-06-12,167.9873
2012-06-13,171.8491
2012-06-14,172.4927
2012-06-15,172.4927
2012-06-18,172.4927
2012-06-19,171.2055
2012-06-20,171.2055
2012-06-21,167.9873
2012-06-25,167.3437
2012-06-26,166.0564
2012-06-27,165.4128
2012-06-28,167.9873
2012-06-29,165.4128
2012-07-02,163.4819
2012-07-03,162.8383
2012-07-04,162.1947
2012-07-05,156.40200000000002
2012-07-06,156.40200000000002
2012-07-09,153.8275
2012-07-10,151.253
2012-07-11,153.1838
2012-07-12,153.8275
2012-07-13,153.8275
2012-07-16,147.3912
2012-07-17,148.0348
2012-07-18,149.9657
2012-07-19,149.3221
