day,market_cap
2011-09-23,146.7583
2011-09-26,142.8385
2011-09-27,144.4064
2011-09-28,142.2113
2011-09-29,139.389
2011-09-30,138.9186
2011-10-10,138.9186
2011-10-11,138.9186
2011-10-12,143.4656
2011-10-13,144.4064
2011-10-14,143.1521
2011-10-17,143.3089
2011-10-18,137.9779
2011-10-19,137.8211
2011-10-20,132.4901
2011-10-21,130.6086
2011-10-24,133.1173
2011-10-25,137.6643
2011-10-26,143.1521
2011-10-27,140.0162
2011-10-28,143.3089
2011-10-31,145.3472
2011-11-01,146.7583
2011-11-02,150.5213
2011-11-03,148.3262
2011-11-04,148.3262
2011-11-07,147.0719
2011-11-08,146.6015
2011-11-09,150.05100000000002
2011-11-10,146.6015
2011-11-11,147.0719
2011-11-14,152.5596
2011-11-15,153.03
2011-11-16,146.1311
2011-11-17,145.8175
2011-11-18,139.2322
2011-11-21,140.3298
2011-11-22,139.7026
2011-11-23,138.1347
2011-11-24,138.2915
2011-11-25,135.7828
2011-11-28,134.842
2011-11-29,138.9186
2011-11-30,132.4901
2011-12-01,135.9396
2011-12-02,132.6469
2011-12-05,129.3543
2011-12-06,129.5111
2011-12-07,129.6679
2011-12-08,129.9814
2011-12-09,129.0407
2011-12-12,128.4135
2011-12-13,124.6505
2011-12-14,119.7899
2011-12-15,113.8318
2011-12-16,116.8108
2011-12-19,116.4972
2011-12-20,116.654
2011-12-21,111.0095
2011-12-22,108.1872
2011-12-23,109.12799999999999
2011-12-26,107.8736
2011-12-27,103.6402
2011-12-28,103.3266
2011-12-29,103.4834
2011-12-30,104.8946
2012-01-04,101.6019
2012-01-05,97.9957
2012-01-06,100.03399999999999
2012-01-09,103.9538
2012-01-10,109.2848
2012-01-11,109.7551
2012-01-12,109.5983
2012-01-13,105.0513
2012-01-16,101.7587
2012-01-17,109.9119
2012-01-18,107.2464
2012-01-19,108.1872
2012-01-20,108.9712
2012-01-30,107.4032
2012-01-31,107.56
2012-02-01,105.5217
2012-02-02,107.7168
2012-02-03,110.3823
2012-02-06,110.5391
2012-02-07,107.7168
2012-02-08,111.3231
2012-02-09,112.10700000000001
2012-02-10,114.7725
2012-02-13,115.2429
2012-02-14,113.675
2012-02-15,115.5565
2012-02-16,116.4972
2012-02-17,116.1837
2012-02-20,115.7133
2012-02-21,118.3788
2012-02-22,120.4171
2012-02-23,119.9467
2012-02-24,121.3578
2012-02-27,123.7097
2012-02-28,122.4554
2012-02-29,121.3578
2012-03-01,121.985
2012-03-02,124.1801
2012-03-05,122.9258
2012-03-06,121.5146
2012-03-07,122.76899999999999
2012-03-08,127.0024
2012-03-09,126.6888
2012-03-12,129.8246
2012-03-13,133.1173
2012-03-14,127.4728
2012-03-15,130.295
2012-03-16,134.2149
2012-03-19,136.0964
2012-03-20,135.1556
2012-03-21,134.6852
2012-03-22,131.3926
2012-03-23,129.0407
2012-03-26,130.4518
2012-03-27,132.3333
2012-03-28,126.6888
2012-03-29,126.6888
2012-03-30,126.2184
2012-04-05,133.9013
2012-04-06,129.8246
2012-04-09,120.1035
2012-04-10,120.7307
2012-04-11,118.8491
2012-04-12,121.0442
2012-04-13,121.6714
2012-04-16,121.0442
2012-04-17,120.2603
2012-04-18,123.7097
2012-04-19,124.9641
2012-04-20,126.3752
2012-04-23,123.8665
2012-04-24,121.985
2012-04-25,122.2986
2012-04-26,121.0442
2012-04-27,119.7899
2012-05-02,123.0825
2012-05-03,124.6505
2012-05-04,125.2777
2012-05-07,126.3752
2012-05-08,125.4344
2012-05-09,121.0442
2012-05-10,121.985
2012-05-11,120.8874
2012-05-14,119.9467
2012-05-15,118.3788
2012-05-16,114.7725
2012-05-17,116.3404
2012-05-18,115.2429
2012-05-21,115.3997
2012-05-22,116.8108
2012-05-23,115.2429
2012-05-24,113.2046
2012-05-25,111.6367
2012-05-28,112.7342
2012-05-29,114.9293
2012-05-30,114.3021
2012-05-31,114.4589
2012-06-01,113.8318
2012-06-04,109.2848
2012-06-05,108.6576
2012-06-06,109.12799999999999
2012-06-07,107.8736
2012-06-08,109.4416
2012-06-11,110.5391
2012-06-12,108.344
2012-06-13,109.9119
2012-06-14,110.3823
2012-06-15,110.3823
2012-06-18,110.8527
2012-06-19,109.4416
2012-06-20,109.9119
2012-06-21,107.8736
2012-06-25,107.8736
2012-06-26,106.3057
2012-06-27,105.9921
2012-06-28,104.1106
2012-06-29,105.3649
2012-07-02,106.3057
2012-07-03,106.3057
2012-07-04,107.0897
2012-07-05,105.5217
2012-07-06,108.344
2012-07-09,105.5217
2012-07-10,109.5983
2012-07-11,111.1663
2012-07-12,111.3231
2012-07-13,109.9119
2012-07-16,106.9329
2012-07-17,108.0304
2012-07-18,110.0687
2012-07-19,110.3823
2012-07-20,111.0095
2012-07-23,109.4416
2012-07-24,109.7551
2012-07-25,108.0304
2012-07-26,105.8353
2012-07-27,108.0304
2012-07-30,107.7168
2012-07-31,102.6995
2012-08-01,105.3649
2012-08-02,104.4242
2012-08-03,105.8353
2012-08-06,107.56
2012-08-07,107.8736
2012-08-08,108.8144
2012-08-09,108.344
2012-08-10,109.5983
2012-08-13,107.8736
2012-08-14,109.4416
2012-08-15,108.1872
2012-08-16,106.4625
2012-08-17,106.4625
2012-08-20,105.3649
2012-08-21,107.0897
2012-08-22,105.9921
2012-08-23,106.7761
2012-08-24,103.4834
2012-08-27,99.4068
2012-08-28,99.5636
2012-08-29,97.5253
2012-08-30,95.9573
2012-08-31,96.7413
2012-09-03,97.2117
2012-09-04,96.2709
