day,market_cap
2011-09-23,122.8982
2011-09-26,121.7012
2011-09-27,122.8982
2011-09-28,121.7012
2011-09-29,120.1051
2011-09-30,120.1052
2011-10-10,119.9057
2011-10-11,120.7037
2011-10-12,123.6964
2011-10-13,124.6939
2011-10-14,124.0954
2011-10-17,124.0954
2011-10-18,121.5018
2011-10-19,120.9032
2011-10-20,119.7062
2011-10-21,119.5067
2011-10-24,121.1027
2011-10-25,122.4993
2011-10-26,122.8983
2011-10-27,124.6939
2011-10-28,128.0856
2011-10-31,131.4773
2011-11-01,136.066
2011-11-02,136.6645
2011-11-03,135.0685
2011-11-04,133.2729
2011-11-07,156.6529
2011-11-08,156.6529
2011-11-09,156.6529
2011-11-10,156.6529
2011-11-11,147.976
2011-11-14,151.9627
2011-11-15,151.9627
2011-11-16,148.445
2011-11-17,149.8521
2011-11-18,146.5689
2011-11-21,147.2725
2011-11-22,145.1619
2011-11-23,145.8654
2011-11-24,146.5689
2011-11-25,143.9893
2011-11-28,143.5203
2011-11-29,144.6928
2011-11-30,139.0646
2011-12-01,137.6575
2011-12-02,127.3391
2011-12-05,126.6355
2011-12-06,128.7461
2011-12-07,128.5116
2011-12-08,130.1532
2011-12-09,131.7948
2011-12-12,132.9673
2011-12-13,129.6842
2011-12-14,132.2638
2011-12-15,132.9673
2011-12-16,133.6709
2011-12-19,137.6575
2011-12-20,137.1885
2011-12-21,133.6709
2011-12-22,136.7195
2011-12-23,136.485
2011-12-26,140.0026
2011-12-27,137.892
2011-12-28,137.1885
2011-12-29,137.423
2011-12-30,139.7681
2012-01-04,140.0026
2012-01-05,140.0026
2012-01-06,138.1266
2012-01-09,139.7681
2012-01-10,140.9407
2012-01-11,139.5336
2012-01-12,141.1752
2012-01-13,138.5956
2012-01-16,143.9893
2012-01-17,146.5689
2012-01-18,144.2238
2012-01-19,142.8168
2012-01-20,144.2238
2012-01-30,143.7548
2012-01-31,145.3964
2012-02-01,143.7548
2012-02-02,144.2238
2012-02-03,143.2858
2012-02-06,143.7548
2012-02-07,140.7062
2012-02-08,143.2858
2012-02-09,143.0513
2012-02-10,141.6442
2012-02-13,141.6442
2012-02-14,140.9407
2012-02-15,144.6928
2012-02-16,143.9893
2012-02-17,143.7548
2012-02-20,141.8787
2012-02-21,142.8168
2012-02-22,142.5822
2012-02-23,143.2858
2012-02-24,143.9893
2012-02-27,145.3964
2012-02-28,147.2725
2012-02-29,146.8034
2012-03-01,146.8034
2012-03-02,148.2105
2012-03-05,145.1619
2012-03-06,146.5689
2012-03-07,145.3964
2012-03-08,145.3964
2012-03-09,147.976
2012-03-12,148.6795
2012-03-13,150.0866
2012-03-14,144.9274
2012-03-15,141.8787
2012-03-16,146.0999
2012-03-19,147.7415
2012-03-20,147.0379
2012-03-21,147.2725
2012-03-22,145.3964
2012-03-23,143.7548
2012-03-26,143.9893
2012-03-27,143.5203
2012-03-28,138.1266
2012-03-29,136.954
2012-03-30,138.3611
2012-04-05,140.4717
2012-04-06,142.8168
2012-04-09,143.2858
2012-04-10,143.7548
2012-04-11,143.9893
2012-04-12,143.7548
2012-04-13,144.2238
2012-04-16,143.2858
2012-04-17,138.3611
2012-04-18,140.7062
2012-04-19,139.5336
2012-04-20,140.0026
2012-04-23,138.3611
2012-04-24,139.7681
2012-04-25,140.4717
2012-04-26,139.0646
2012-04-27,139.0646
2012-05-02,141.8787
2012-05-03,141.8787
2012-05-04,142.1132
2012-05-07,143.0513
2012-05-08,143.0513
2012-05-09,141.4097
2012-05-10,143.2858
2012-05-11,143.5203
2012-05-14,142.1132
2012-05-15,143.2858
2012-05-16,142.3477
2012-05-17,144.9274
2012-05-18,144.4583
2012-05-21,143.5203
2012-05-22,143.5203
2012-05-23,141.6442
2012-05-24,140.2371
2012-05-25,138.8301
2012-05-28,140.2371
2012-05-29,141.6442
2012-05-30,139.7681
2012-05-31,141.1752
2012-06-01,140.4717
2012-06-04,139.5336
2012-06-05,141.8787
2012-06-06,143.0513
2012-06-07,143.7548
2012-06-08,147.976
2012-06-11,147.7415
2012-06-12,148.445
2012-06-13,152.1972
2012-06-14,153.8388
2012-06-15,155.7148
2012-06-18,155.7148
2012-06-19,155.4803
2012-06-20,152.6662
