day,market_cap
2016-07-06,224.28
2016-07-07,246.72
2016-07-08,271.44
2016-07-11,298.56
2016-07-12,328.44
2016-07-13,361.32
2016-07-14,397.44
2016-07-15,437.16
2016-07-18,480.84
2016-07-19,505.08
2016-07-20,481.92
2016-07-21,487.44
2016-07-22,458.16
2016-07-25,472.56
2016-07-26,473.88
2016-07-27,447.48
2016-07-28,447.84
2016-07-29,456.96
2016-08-01,430.32
2016-08-02,432.84
2016-08-03,447.12
2016-08-04,441.0
2016-08-05,429.12
2016-08-08,422.88
2016-08-09,426.72
2016-08-10,443.04
2016-08-11,428.52
2016-08-12,436.56
2016-08-15,443.04
2016-08-16,444.0
2016-08-17,444.0
2016-08-18,436.08
2016-08-19,430.8
2016-08-22,430.92
2016-08-23,431.16
2016-08-24,449.88
2016-08-25,438.24
2016-08-26,436.2
2016-08-29,433.2
2016-08-30,432.84
2016-08-31,433.44
2016-09-01,426.36
2016-09-02,421.08
2016-09-05,418.68
2016-09-06,423.6
2016-09-07,418.56
2016-09-08,421.2
2016-09-09,414.0
2016-09-12,388.08
2016-09-13,389.16
2016-09-14,383.16
2016-09-19,388.56
2016-09-20,392.16
2016-09-21,385.92
2016-09-22,383.52
2016-09-23,376.56
2016-09-26,354.6
2016-09-27,355.8
2016-09-28,351.0
2016-09-29,351.0
2016-09-30,347.64
2016-10-10,357.72
2016-10-11,360.72
2016-10-12,374.76
2016-10-13,372.24
2016-10-14,374.64
2016-10-17,364.92
2016-10-18,369.0
2016-10-19,370.8
2016-10-20,367.32
2016-10-21,364.32
2016-10-24,369.36
2016-10-25,372.48
2016-10-26,366.12
2016-10-27,370.56
2016-10-28,374.28
2016-10-31,368.04
2016-11-01,373.56
2016-11-02,374.88
2016-11-03,382.68
2016-11-04,391.92
2016-11-07,386.76
2016-11-08,387.72
2016-11-09,378.48
2016-11-10,400.56
2016-11-11,401.52
2016-11-14,401.52
2016-11-15,401.52
2016-11-16,401.52
2016-11-17,401.52
2016-11-18,401.52
2016-11-21,401.52
2016-11-22,401.52
2016-11-23,401.52
2016-11-24,401.52
2016-11-25,401.52
2016-11-28,380.88
2016-11-29,363.48
2016-11-30,363.24
2016-12-01,365.64
2016-12-02,361.08
2016-12-05,356.64
2016-12-06,357.96
2016-12-07,359.4
2016-12-08,355.68
2016-12-09,351.6
2016-12-12,326.04
2016-12-13,325.92
2016-12-14,321.84
2016-12-15,325.2
2016-12-16,330.0
2016-12-19,327.24
2016-12-20,327.0
2016-12-21,329.64
2016-12-22,336.6
2016-12-23,332.4
2016-12-26,329.28
2016-12-27,328.8
2016-12-28,324.96
2016-12-29,322.68
2016-12-30,322.68
2017-01-03,325.8
2017-01-04,329.4
2017-01-05,326.4
2017-01-06,321.84
2017-01-09,321.48
2017-01-10,320.4
2017-01-11,309.36
2017-01-12,305.76
2017-01-13,303.36
2017-01-16,309.36
2017-01-17,310.44
2017-01-18,303.12
2017-01-19,300.6
2017-01-20,304.8
2017-01-23,305.88
2017-01-24,307.44
2017-01-25,307.08
2017-01-26,307.08
2017-02-03,305.16
2017-02-06,309.72
2017-02-07,306.84
2017-02-08,313.44
2017-02-09,314.04
2017-02-10,311.88
2017-02-13,317.64
2017-02-14,316.44
2017-02-15,315.12
2017-02-16,315.96
2017-02-17,317.76
2017-02-20,321.72
2017-02-21,321.24
2017-02-22,320.28
2017-02-23,328.68
2017-02-24,331.92
2017-02-27,328.32
2017-02-28,326.52
2017-03-01,322.92
2017-03-02,322.2
2017-03-03,321.0
2017-03-06,324.72
2017-03-07,325.8
2017-03-08,323.04
2017-03-09,316.32
2017-03-10,315.36
2017-03-13,316.68
2017-03-14,320.16
2017-03-15,317.04
2017-03-16,322.92
2017-03-17,318.48
2017-03-20,317.64
2017-03-21,316.92
2017-03-22,312.0
2017-03-23,319.32
2017-03-24,318.12
2017-03-27,318.96
2017-03-28,313.2
2017-03-29,307.68
2017-03-30,298.92
2017-03-31,299.76
2017-04-05,303.6
2017-04-06,303.0
2017-04-07,304.44
2017-04-10,298.44
2017-04-11,299.04
2017-04-12,294.96
2017-04-13,295.2
2017-04-14,291.36
2017-04-17,286.68
2017-04-18,285.0
2017-04-19,288.36
2017-04-20,283.44
2017-04-21,283.44
2017-04-24,276.36
2017-04-25,273.12
2017-04-26,267.72
2017-04-27,267.96
2017-04-28,268.44
2017-05-02,267.36
2017-05-03,265.8
2017-05-04,265.08
2017-05-05,260.76
2017-05-08,252.48
2017-05-09,256.08
2017-05-10,252.0
2017-05-11,246.72
2017-05-12,243.72
2017-05-15,244.8
2017-05-16,249.96
2017-05-17,251.4
2017-05-18,248.4
2017-05-19,249.12
2017-05-22,239.04
2017-05-23,224.76
2017-05-24,224.28
2017-05-25,225.24
2017-05-26,226.08
2017-05-31,227.16
2017-06-01,217.44
2017-06-02,226.68
2017-06-05,241.44
2017-06-06,240.24
2017-06-07,243.6
2017-06-08,240.36
2017-06-09,242.16
2017-06-12,237.6
2017-06-13,241.8
2017-06-14,241.32
2017-06-15,244.68
2017-06-16,242.28
2017-06-19,243.0
2017-06-20,239.28
2017-06-21,246.24
2017-06-22,262.68
2017-06-23,267.24
2017-06-26,273.6
2017-06-27,266.76
2017-06-28,258.36
2017-06-29,276.96
2017-06-30,269.16
2017-07-03,269.4
2017-07-04,265.68
2017-07-05,267.36
2017-07-06,257.52
2017-07-07,250.32
2017-07-10,246.48
2017-07-11,243.6
2017-07-12,241.44
2017-07-13,240.72
2017-07-14,241.32
2017-07-17,223.68
2017-07-18,226.8
2017-07-19,230.16
2017-07-20,230.04
2017-07-21,230.16
2017-07-24,233.52
2017-07-25,231.24
2017-07-26,230.28
2017-07-27,235.2
2017-07-28,234.36
2017-07-31,234.12
2017-08-01,232.44
2017-08-02,227.04
2017-08-03,228.0
2017-08-04,236.28
2017-08-07,244.92
2017-08-08,244.08
2017-08-09,241.2
2017-08-10,242.04
2017-08-11,234.84
2017-08-14,237.0
2017-08-15,239.28
2017-08-16,244.32
2017-08-17,243.24
2017-08-18,240.36
2017-08-21,242.4
2017-08-22,239.04
2017-08-23,238.44
2017-08-24,232.44
2017-08-25,235.44
2017-08-28,239.4
2017-08-29,239.4
2017-08-30,239.4
2017-08-31,239.4
2017-09-01,241.92
2017-09-04,239.28
2017-09-05,243.84
2017-09-06,244.44
2017-09-07,240.96
2017-09-08,242.16
2017-09-11,245.52
2017-09-12,242.28
2017-09-13,241.32
2017-09-14,240.24
2017-09-15,237.84
2017-09-18,239.52
2017-09-19,237.48
2017-09-20,236.64
2017-09-21,234.24
2017-09-22,231.96
2017-09-25,228.84
2017-09-26,230.28
2017-09-27,231.96
2017-09-28,238.68
2017-09-29,238.8
2017-10-09,237.72
2017-10-10,239.88
2017-10-11,238.32
2017-10-12,234.6
2017-10-13,235.68
2017-10-16,231.12
2017-10-17,230.28
2017-10-18,229.2
2017-10-19,226.2
2017-10-20,228.48
2017-10-23,228.24
2017-10-24,226.32
2017-10-25,229.32
2017-10-26,229.68
