,name,long_rate,short_rate,trade_rate,settle_rate,close_rate
IF1811.CCFX,IF1811,0.15,0.15,2.3e-05,0.0001,30.0
IF1812.CCFX,IF1812,0.15,0.15,2.3e-05,0.0001,30.0
IF1903.CCFX,IF1903,0.15,0.15,2.3e-05,0.0001,30.0
IF1906.CCFX,IF1906,0.15,0.15,2.3e-05,0.0001,30.0
